Day,Total,from the river to the sea: (United States),Free Palestine: (United States),Divest: (United States),Intifada: (United States),Nakba: (United States)
01/10/2023,2,0,0,2,0,0
02/10/2023,8,5,0,3,0,0
03/10/2023,7,3,0,4,0,0
04/10/2023,9,4,0,5,0,0
05/10/2023,6,3,0,3,0,0
06/10/2023,4,4,0,0,0,0
07/10/2023,79,7,35,3,26,8
08/10/2023,154,11,80,3,34,26
09/10/2023,188,17,100,4,32,35
10/10/2023,189,15,98,4,34,38
11/10/2023,183,13,90,3,34,43
12/10/2023,202,15,83,7,58,39
13/10/2023,275,15,87,4,93,76
14/10/2023,212,12,80,3,40,77
15/10/2023,181,16,77,0,35,53
16/10/2023,157,18,62,5,28,44
17/10/2023,150,19,55,6,25,45
18/10/2023,171,21,69,8,30,43
19/10/2023,155,23,61,8,30,33
20/10/2023,132,24,54,5,25,24
21/10/2023,129,17,58,3,21,30
22/10/2023,121,13,57,3,18,30
23/10/2023,113,19,41,5,18,30
24/10/2023,122,16,40,4,36,26
25/10/2023,163,22,46,8,60,27
26/10/2023,122,24,42,4,29,23
27/10/2023,134,22,39,4,31,38
28/10/2023,153,23,58,3,33,36
29/10/2023,122,21,48,3,23,27
30/10/2023,126,26,43,5,29,23
31/10/2023,109,23,34,5,22,25
01/11/2023,112,24,35,6,20,27
02/11/2023,116,27,44,6,15,24
03/11/2023,116,28,45,4,16,23
04/11/2023,173,53,70,4,18,28
05/11/2023,180,53,59,4,37,27
06/11/2023,148,53,44,6,21,24
07/11/2023,141,49,43,8,18,23
08/11/2023,194,100,43,8,13,30
09/11/2023,169,76,39,7,17,30
10/11/2023,169,52,39,6,31,41
11/11/2023,155,42,49,3,29,32
12/11/2023,159,36,49,4,22,48
13/11/2023,142,34,36,6,21,45
14/11/2023,121,37,34,5,19,26
15/11/2023,105,28,33,5,14,25
16/11/2023,104,25,34,4,22,19
17/11/2023,109,24,31,5,31,18
18/11/2023,106,35,30,0,28,13
19/11/2023,95,24,34,0,24,13
20/11/2023,74,22,21,3,18,10
21/11/2023,73,15,23,5,16,14
22/11/2023,71,15,24,4,15,13
23/11/2023,81,21,28,0,16,16
24/11/2023,69,18,28,0,12,11
25/11/2023,66,14,23,3,13,13
26/11/2023,69,13,19,3,13,21
27/11/2023,63,12,15,6,9,21
28/11/2023,79,15,20,13,9,22
29/11/2023,67,15,17,13,8,14
30/11/2023,66,16,18,6,10,16
01/12/2023,56,14,17,6,11,8
02/12/2023,53,8,19,5,10,11
03/12/2023,59,9,18,3,16,13
04/12/2023,82,12,18,7,32,13
05/12/2023,95,19,19,7,35,15
06/12/2023,162,35,17,6,93,11
07/12/2023,179,35,23,7,100,14
08/12/2023,154,40,22,9,70,13
09/12/2023,131,30,26,5,58,12
10/12/2023,135,28,24,4,69,10
11/12/2023,123,28,28,8,48,11
12/12/2023,120,31,20,7,50,12
13/12/2023,98,27,21,7,33,10
14/12/2023,78,22,16,9,23,8
15/12/2023,57,16,11,4,17,9
16/12/2023,58,17,17,4,12,8
17/12/2023,62,17,17,4,15,9
18/12/2023,55,14,13,5,15,8
19/12/2023,55,10,15,6,16,8
20/12/2023,49,14,12,5,12,6
21/12/2023,53,14,14,6,11,8
22/12/2023,44,13,16,3,8,4
23/12/2023,42,14,15,0,6,7
24/12/2023,54,13,19,0,15,7
25/12/2023,47,13,19,0,7,8
26/12/2023,50,11,20,0,12,7
27/12/2023,53,9,16,0,20,8
28/12/2023,46,13,15,3,8,7
29/12/2023,43,13,14,0,9,7
30/12/2023,38,7,14,0,8,9
31/12/2023,43,7,15,4,8,9
01/01/2024,60,12,22,5,12,9
02/01/2024,96,14,17,5,49,11
03/01/2024,89,17,20,5,37,10
04/01/2024,59,12,18,8,13,8
05/01/2024,58,15,16,7,11,9
06/01/2024,42,8,17,0,9,8
07/01/2024,46,7,22,0,9,8
08/01/2024,44,10,15,4,8,7
09/01/2024,48,10,15,5,12,6
10/01/2024,67,16,20,9,14,8
11/01/2024,64,13,18,9,11,13
12/01/2024,69,16,15,6,9,23
13/01/2024,142,10,26,0,6,100
14/01/2024,103,6,24,4,15,54
15/01/2024,66,9,21,7,7,22
16/01/2024,52,8,14,9,7,14
17/01/2024,58,12,13,10,11,12
18/01/2024,70,17,15,7,18,13
19/01/2024,62,21,12,7,10,12
20/01/2024,48,11,11,4,11,11
21/01/2024,46,13,17,0,10,6
22/01/2024,56,13,18,6,10,9
23/01/2024,72,27,13,4,17,11
24/01/2024,63,20,17,9,9,8
25/01/2024,62,16,15,9,11,11
26/01/2024,47,16,13,11,0,7
27/01/2024,42,11,16,0,6,9
28/01/2024,43,11,15,0,9,8
29/01/2024,50,13,15,8,7,7
30/01/2024,51,14,12,10,8,7
31/01/2024,64,14,17,18,9,6
02/01/2024,49,9,10,15,7,8
02/02/2024,45,12,12,8,7,6
02/03/2024,33,8,8,4,9,4
02/04/2024,35,5,13,5,8,4
02/05/2024,51,14,10,9,9,9
02/06/2024,41,13,10,5,8,5
02/07/2024,37,10,7,7,7,6
02/08/2024,38,10,8,8,7,5
02/09/2024,36,11,9,6,5,5
